id,follow_up_required,customer_name,company_name,action_needed,priority,reason,source_text,created_date,status,source_name,source_type
5eeb3e35-34a3-4cfe-98d2-8cb816c249ba,true,Daniel,,Send product brochure and documentation,Medium,Customer requested detailed product information,Do you have any product brochure or documentation that explains the features in detail?,2026-06-02T10:04:30.250789Z,Pending,typed-conversation,text
b702a1d6-60f6-4b33-b051-a1e1b87bfdd4,true,Daniel,,Share pricing details,Medium,Customer requested pricing information,"Also, I'm interested in understanding the pricing structure. Can you share the pricing details as well?",2026-06-02T10:04:30.250789Z,Pending,typed-conversation,text
dbc256db-a7b0-4770-b06f-464eee6efa2e,true,Daniel,,Send customer success stories or case studies,Low,Customer requested additional information,Could you share a few customer success stories or case studies?,2026-06-02T10:04:30.250789Z,Pending,typed-conversation,text
cf15e024-0a10-422b-8e90-abc82666669f,true,Daniel,,Arrange a demo,High,Customer is interested in moving forward after reviewing documents and discussing with stakeholders,"Once I've reviewed the documents and spoken with the stakeholders, I'll get back to you with our final feedback.",2026-06-02T10:04:30.250789Z,Pending,typed-conversation,text
c6a1aca1-db4a-4193-b1f0-ddeb2017cb00,true,Arun Joseph,,"Follow up on purchase decision after customer reviews offers, comparison sheet, and customer reviews",Medium,Customer needs time to discuss purchase with wife and review provided information,"Great. I need some time to discuss this purchase with my wife before I finalize anything. Once I've reviewed everything, I'll decide whether to purchase the iPhone 16 Pro or the Samsung Galaxy S25 Ultra.",2026-06-02T10:06:55.129611Z,Completed,typed-conversation,text
7d85ff17-3a54-4b35-974d-04e70dfcae9f,true,Arun Joseph,,"Send latest offers, exchange details, comparison sheet, and customer reviews",High,Customer requested specific information to make a purchase decision,Could you send me the latest offers and exchange details? Can you send me a comparison sheet between the iPhone 16 Pro and Samsung Galaxy S25 Ultra? Can you share a few customer reviews or feedback about the iPhone 16 Pro?,2026-06-02T10:06:55.129611Z,Pending,typed-conversation,text
e3a85e1b-7268-45ac-a194-45ac1144d672,true,Arun Joseph,,Follow up on iPhone 16 Pro purchase decision,Medium,Customer needs time to discuss with wife and review provided information,Great. I need some time to discuss this purchase with my wife before I finalize anything.,2026-06-02T10:20:44.369566Z,Pending,typed-conversation,text
7191ae14-912b-43fd-b22a-5316e15f840e,true,Arun Joseph,,Send latest offers and exchange details,High,Customer requested information to make a purchase decision,Could you send me the latest offers and exchange details?,2026-06-02T10:20:44.369566Z,Pending,typed-conversation,text
3bd474b7-0251-47e8-8fe9-932da29c7e53,true,Arun Joseph,,Send comparison sheet between iPhone 16 Pro and Samsung Galaxy S25 Ultra,High,Customer requested information to compare products,Can you send me a comparison sheet between the iPhone 16 Pro and Samsung Galaxy S25 Ultra?,2026-06-02T10:20:44.369566Z,Pending,typed-conversation,text
25b14ebf-5338-4d22-98e0-18afde0f9d47,true,Arun Joseph,,Send customer reviews or feedback about the iPhone 16 Pro,High,Customer requested information to inform purchase decision,Can you share a few customer reviews or feedback about the iPhone 16 Pro?,2026-06-02T10:20:44.369566Z,Pending,typed-conversation,text
5b163ba8-54a9-4ef6-8df1-37630db7c714,true,Arun Joseph,,Follow up on iPhone 16 Pro purchase decision,Medium,Customer needs time to discuss with wife and review provided information,Great. I need some time to discuss this purchase with my wife before I finalize anything.,2026-06-02T10:22:28.918960Z,Pending,typed-conversation,text
7a215866-92b0-4616-9378-3b4dfec202e0,true,Arun Joseph,,Send latest offers and exchange details,High,Customer requested information to make a decision,Could you send me the latest offers and exchange details?,2026-06-02T10:22:28.918960Z,Pending,typed-conversation,text
3999807a-5a52-42f1-b8cd-0c6ac7953ab6,true,Arun Joseph,,Send comparison sheet between iPhone 16 Pro and Samsung Galaxy S25 Ultra,High,Customer requested information to compare devices,Can you send me a comparison sheet between the iPhone 16 Pro and Samsung Galaxy S25 Ultra?,2026-06-02T10:22:28.918960Z,Pending,typed-conversation,text
bd157a55-1892-40d8-ae9e-62aa8e742a22,true,Arun Joseph,,Send customer reviews or feedback about the iPhone 16 Pro,Medium,Customer requested information to inform purchase decision,Can you share a few customer reviews or feedback about the iPhone 16 Pro?,2026-06-02T10:22:28.918960Z,Pending,typed-conversation,text
114aed69-f908-4658-8bde-aa146879acb8,true,Michael Thomas,,Send exchange offers and EMI plans for MacBook Pro M4,Medium,Customer requested information to make a purchase decision,Could you send me the details of the exchange offers and EMI plans?,2026-06-02T10:28:23.389558Z,Pending,typed-conversation,text
e831d94b-e325-4ebf-a90f-94ebb3579032,true,Michael Thomas,,Share detailed comparison sheet of MacBook Pro M4 and Dell XPS 15,Medium,Customer wants to compare products before making a decision,"Can you share a detailed comparison sheet covering performance, battery life, and display quality?",2026-06-02T10:28:23.389558Z,Pending,typed-conversation,text
0e40bdc4-f3e8-4c2f-a401-8e2bf067b45f,true,Michael Thomas,,Send exchange offers and EMI plans for MacBook Pro M4,Medium,Customer requested information to make a purchase decision,Could you send me the details of the exchange offers and EMI plans?,2026-06-02T10:42:51.529143Z,Completed,typed-conversation,text
6113edad-7328-4662-b5ec-a0fc9c3133fb,true,Michael Thomas,,Share detailed comparison sheet of MacBook Pro M4 and Dell XPS 15,Medium,Customer wants to compare products before making a final decision,"Can you share a detailed comparison sheet covering performance, battery life, and display quality?",2026-06-02T10:42:51.529143Z,Completed,typed-conversation,text
9d305db6-534f-44ab-a3e9-00ecd1e4a3b4,true,Michael Thomas,,Send exchange offers and EMI plans for MacBook Pro M4,Medium,Customer requested information to make a purchase decision,Could you send me the details of the exchange offers and EMI plans?,2026-06-03T10:01:31.153871Z,Completed,typed-conversation,text
b1827290-f5c0-4a87-a27b-7be90c7147f8,true,Michael Thomas,,Share detailed comparison sheet of MacBook Pro M4 and Dell XPS 15,Medium,Customer wants to compare products before making a decision,"Can you share a detailed comparison sheet covering performance, battery life, and display quality?",2026-06-03T10:01:31.153871Z,Completed,typed-conversation,text
82e64ae2-f340-4392-af85-3bba02fede7d,true,Michael Thomas,,Send exchange offers and EMI plans for MacBook Pro M4,Medium,Customer requested information to make a purchase decision,Could you send me the details of the exchange offers and EMI plans?,2026-06-03T10:26:12.974792Z,Pending,typed-conversation,text
27e8112a-53cf-4367-8c42-a1fd8d46d6d1,true,Michael Thomas,,Share detailed comparison sheet of MacBook Pro M4 and Dell XPS 15,Medium,Customer wants to compare products before making a final decision,"Can you share a detailed comparison sheet covering performance, battery life, and display quality?",2026-06-03T10:26:12.974792Z,Pending,typed-conversation,text
b56f5fe0-f4ce-4174-b55d-c36745243e9d,true,,,Follow up after customer review,Medium,Customer needs time before responding.,I'll think about it and get back to you later.,2026-06-09T07:46:44.944909Z,Pending,conv_001.wav,audio
2ac394c6-2002-48b3-8e02-d0c2f04811f4,true,,,Share requested sales information,Low,Customer requested materials or details.,I'll share the details with you.,2026-06-09T07:46:44.944909Z,Pending,conv_001.wav,audio
be01fcf0-4259-490e-ad62-e291ad5113b6,true,,,Follow up after customer review,Medium,Customer needs time before responding.,I'll think about it and get back to you later.,2026-06-09T07:48:35.308011Z,Pending,conv_001.wav,audio
aed86ec9-cfb7-4a28-b047-8bd489d5c26f,true,Michael Thomas,,Send exchange offers and EMI plans for MacBook Pro M4,Medium,Customer requested information to make a purchase decision,Could you send me the details of the exchange offers and EMI plans?,2026-06-09T09:39:06.034848Z,Pending,typed-conversation,text
b535a6f3-09b7-429b-8e7b-0e20ac2eb677,true,Michael Thomas,,Share detailed comparison sheet of MacBook Pro M4 and Dell XPS 15,Medium,Customer wants to compare products before making a final decision,"Can you share a detailed comparison sheet covering performance, battery life, and display quality?",2026-06-09T09:39:06.034848Z,Pending,typed-conversation,text
e93a0865-ddb1-4cba-b180-9bc66707ea8b,true,Michael Thomas,,Send details of exchange offers and EMI plans,Medium,Customer requested information to make a purchase decision,That sounds helpful. Could you send me the details of the exchange offers and EMI plans?,2026-06-09T10:06:54.889039Z,Pending,typed-conversation,text
ee02979b-997b-4edd-8f42-473984000d6d,true,Michael Thomas,,Share a detailed comparison sheet of MacBook Pro M4 and Dell XPS 15,Medium,Customer wants to compare products before making a decision,"Can you share a detailed comparison sheet covering performance, battery life, and display quality?",2026-06-09T10:06:54.889039Z,Pending,typed-conversation,text
02b6a551-dcc2-4207-8b23-3d06cfdba6d5,true,Michael Thomas,,Call the customer on the next Wednesday,High,Customer requested a call to discuss the purchase after internal discussion,"Once I've discussed it internally, could you give me a call sometime next Wednesday?",2026-06-09T10:06:54.889039Z,Pending,typed-conversation,text
a27b0370-6c18-4902-bb9d-f493c4876f25,true,Michael Thomas,,Inform about upcoming Independence Day offers or discounts,Low,Customer is interested in potential future discounts,"Perfect. Also, if there are any upcoming Independence Day offers or discounts, please let me know.",2026-06-09T10:06:54.889039Z,Pending,typed-conversation,text
3300a1f1-82e8-49a3-8773-f29e18ba877d,true,Michael Thomas,,Share customer reviews or testimonials for the MacBook Pro M4,Medium,Customer wants to review feedback from other customers,One more thing. Could you share some customer reviews or testimonials for the MacBook Pro M4?,2026-06-09T10:06:54.889039Z,Pending,typed-conversation,text
64bea56e-bf62-436a-8951-5c8edfc2ff87,true,John Smith,,Provide laptop quotation or proposal within budget,High,Customer has a budget and urgent timeline for purchase,"Hello, my name is John Smith and I am looking for a Dell laptop for my office. My budget is around 80,000 INR. I need it this week.",2026-06-10T07:40:44.204493Z,Pending,integration-test-client,text
56cc9043-8694-4b81-8b6c-9634acc91e8d,true,John Smith,,Provide laptop quotation or proposal within budget,High,Customer has a budget and urgent timeline for purchase,"Hello, my name is John Smith and I am looking for a Dell laptop for my office. My budget is around 80,000 INR. I need it this week.",2026-06-10T07:47:12.851024Z,Pending,integration-test-client,text
28e85dcf-2dad-4147-87ad-08f8a539280b,true,John Smith,,Provide laptop quotation or proposal within budget,High,Customer has a budget and urgent timeline for purchase,"Hello, my name is John Smith and I am looking for a Dell laptop for my office. My budget is around 80,000 INR. I need it this week.",2026-06-10T07:49:38.664932Z,Pending,integration-test-client,text
9b0719a4-1126-4103-a0b4-5aecc87df2f3,true,,,Follow up on laptop purchase decision,Medium,Customer is undecided and needs time to think,I'll think about it and get back to you later.,2026-06-10T07:50:06.997633Z,Pending,conv_001.wav,audio
8ae65446-7f2b-4df8-8232-ec789ae9e472,true,David Wilson,,Call the customer on Friday evening after 6 PM to discuss the purchase,High,Customer requested a call to finalize the purchase after discussing with his brother,"Could you please call me this Friday evening after 6 PM? By then, I'll have discussed everything with him.",2026-06-10T07:52:06.392083Z,Pending,typed-conversation,text
217b91a3-1aeb-47e2-a7e5-919539d4355d,true,David Wilson,,Send exchange offer details and EMI options,Medium,Customer requested exchange offer details and EMI options,That's great. Could you send me the exchange offer details along with the EMI options?,2026-06-10T07:52:06.392083Z,Pending,typed-conversation,text
5459bcdd-8c1b-4816-834e-f5a29dd3bee1,true,David Wilson,,Send comparison sheet between Samsung Galaxy S25 Ultra and Google Pixel 10 Pro,Medium,Customer requested a comparison sheet,Can you send me a comparison sheet between the Samsung Galaxy S25 Ultra and the Google Pixel 10 Pro?,2026-06-10T07:52:06.392083Z,Pending,typed-conversation,text
f8458254-d9b7-4692-9d81-f5e896ee5946,true,David Wilson,,Send brochure and customer reviews for Samsung Galaxy S25 Ultra,Low,Customer requested additional information,Could you also email me a brochure and a few customer reviews for the Samsung Galaxy S25 Ultra?,2026-06-10T07:52:06.392083Z,Pending,typed-conversation,text
f2886fe1-7482-4853-ac11-5e336a3d3054,true,David Wilson,,Inform about upcoming festive discounts or cashback offers,Low,Customer requested to be informed about upcoming offers,"Also, if there's any upcoming festive discount or cashback offer, please let me know immediately.",2026-06-10T07:52:06.392083Z,Pending,typed-conversation,text
